[   78]   fixation ->    saccade (ibdt:129)
[  974]    pursuit ->   fixation (ibdt:129)
[  975]    pursuit ->   fixation (ibdt:129)
[  976]    pursuit ->   fixation (ibdt:129)
[  977]    pursuit ->   fixation (ibdt:129)
[  978]    pursuit ->   fixation (ibdt:129)
[  979]    pursuit ->   fixation (ibdt:129)
[  980]    pursuit ->   fixation (ibdt:129)
[  981]    pursuit ->   fixation (ibdt:129)
[  982]    pursuit ->   fixation (ibdt:129)
[  983]    pursuit ->   fixation (ibdt:129)
[  984]    pursuit ->   fixation (ibdt:129)
[  985]    pursuit ->   fixation (ibdt:129)
[  986]    pursuit ->   fixation (ibdt:129)
[  987]    pursuit ->   fixation (ibdt:129)
[  988]    pursuit ->   fixation (ibdt:129)
[  989]    pursuit ->   fixation (ibdt:129)
[  990]    pursuit ->   fixation (ibdt:129)
[  991]    pursuit ->   fixation (ibdt:129)
[  992]    pursuit ->   fixation (ibdt:129)
[  993]    pursuit ->   fixation (ibdt:129)
[  994]    pursuit ->   fixation (ibdt:129)
[  995]    pursuit ->   fixation (ibdt:129)
[  996]    pursuit ->   fixation (ibdt:129)
[  997]    pursuit ->   fixation (ibdt:129)
[  998]    pursuit ->   fixation (ibdt:129)
[  999]    pursuit ->   fixation (ibdt:129)
[ 1000]    pursuit ->   fixation (ibdt:129)
[ 1001]    pursuit ->   fixation (ibdt:129)
[ 1002]    pursuit ->   fixation (ibdt:129)
[ 1003]    pursuit ->   fixation (ibdt:129)
[ 1004]    pursuit ->   fixation (ibdt:129)
[ 1005]    pursuit ->   fixation (ibdt:129)
[ 1006]    pursuit ->   fixation (ibdt:129)
[ 1007]    pursuit ->   fixation (ibdt:129)
[ 1008]    pursuit ->   fixation (ibdt:129)
[ 1009]    pursuit ->   fixation (ibdt:129)
[ 1010]    pursuit ->   fixation (ibdt:129)
[ 1011]    pursuit ->   fixation (ibdt:129)
[ 1012]    pursuit ->   fixation (ibdt:129)
[ 1013]    pursuit ->   fixation (ibdt:129)
[ 1014]    pursuit ->   fixation (ibdt:129)
[ 1015]    pursuit ->   fixation (ibdt:129)
[ 1016]    pursuit ->   fixation (ibdt:129)
[ 1017]    pursuit ->   fixation (ibdt:129)
[ 1018]    pursuit ->   fixation (ibdt:129)
[ 1019]    pursuit ->   fixation (ibdt:129)
[ 1020]    pursuit ->   fixation (ibdt:129)
[ 1021]    pursuit ->   fixation (ibdt:129)
[ 1022]    pursuit ->   fixation (ibdt:129)
[ 1023]    pursuit ->   fixation (ibdt:129)
[ 1024]    pursuit ->   fixation (ibdt:129)
[ 1025]    pursuit ->   fixation (ibdt:129)
[ 1026]    pursuit ->   fixation (ibdt:129)
[ 1027]    pursuit ->   fixation (ibdt:129)
[ 1028]    pursuit ->   fixation (ibdt:129)
[ 1029]    pursuit ->   fixation (ibdt:129)
[ 1030]    pursuit ->   fixation (ibdt:129)
[ 1031]    pursuit ->   fixation (ibdt:129)
[ 1032]    pursuit ->   fixation (ibdt:129)
[ 1033]    pursuit ->   fixation (ibdt:129)
[ 1034]    pursuit ->   fixation (ibdt:129)
[ 1035]    pursuit ->   fixation (ibdt:129)
[ 1036]    pursuit ->   fixation (ibdt:129)
[ 1037]    pursuit ->   fixation (ibdt:129)
[ 1038]    pursuit ->   fixation (ibdt:129)
[ 1039]    pursuit ->   fixation (ibdt:129)
[ 1040]    pursuit ->   fixation (ibdt:129)
[ 1041]    pursuit ->   fixation (ibdt:129)
[ 1042]    pursuit ->   fixation (ibdt:129)
[ 1043]    pursuit ->   fixation (ibdt:129)
[ 1044]    pursuit ->   fixation (ibdt:129)
[ 1045]    pursuit ->   fixation (ibdt:129)
[ 1046]    pursuit ->   fixation (ibdt:129)
[ 1047]    pursuit ->   fixation (ibdt:129)
[ 1048]    pursuit ->   fixation (ibdt:129)
[ 1049]    pursuit ->   fixation (ibdt:129)
[ 1050]    pursuit ->   fixation (ibdt:129)
[ 1051]    pursuit ->   fixation (ibdt:129)
[ 1052]    pursuit ->   fixation (ibdt:129)
[ 1053]    pursuit ->   fixation (ibdt:129)
[ 1054]    pursuit ->   fixation (ibdt:129)
[ 1055]    pursuit ->   fixation (ibdt:129)
[ 1056]    pursuit ->   fixation (ibdt:129)
[ 1057]    pursuit ->   fixation (ibdt:129)
[ 1058]    pursuit ->   fixation (ibdt:129)
[ 1059]    pursuit ->   fixation (ibdt:129)
[ 1060]    pursuit ->   fixation (ibdt:129)
[ 1061]    pursuit ->   fixation (ibdt:129)
[ 1062]    pursuit ->   fixation (ibdt:129)
[ 1063]    pursuit ->   fixation (ibdt:129)
[ 1064]    pursuit ->   fixation (ibdt:129)
[ 1065]    pursuit ->   fixation (ibdt:129)
[ 1066]    pursuit ->   fixation (ibdt:129)
[ 1067]    pursuit ->   fixation (ibdt:129)
[ 1068]    pursuit ->   fixation (ibdt:129)
[ 1069]    pursuit ->   fixation (ibdt:129)
[ 1070]    pursuit ->   fixation (ibdt:129)
[ 1071]    pursuit ->   fixation (ibdt:129)
[ 1072]    pursuit ->   fixation (ibdt:129)
[ 1073]    pursuit ->   fixation (ibdt:129)
[ 1074]    pursuit ->   fixation (ibdt:129)
[ 1075]    pursuit ->   fixation (ibdt:129)
[ 1076]    pursuit ->   fixation (ibdt:129)
[ 1077]    pursuit ->   fixation (ibdt:129)
[ 1078]    pursuit ->   fixation (ibdt:129)
[ 1079]    pursuit ->   fixation (ibdt:129)
[ 1080]    pursuit ->   fixation (ibdt:129)
[ 1081]    pursuit ->   fixation (ibdt:129)
[ 1082]    pursuit ->   fixation (ibdt:129)
[ 1083]    pursuit ->   fixation (ibdt:129)
[ 1084]    pursuit ->   fixation (ibdt:129)
[ 1085]    pursuit ->   fixation (ibdt:129)
[ 1086]    pursuit ->   fixation (ibdt:129)
[ 1087]    pursuit ->   fixation (ibdt:129)
[ 1088]    pursuit ->   fixation (ibdt:129)
[ 1089]    pursuit ->   fixation (ibdt:129)
[ 1090]    pursuit ->   fixation (ibdt:129)
[ 1091]    pursuit ->   fixation (ibdt:129)
[ 1092]    pursuit ->   fixation (ibdt:129)
[ 1093]    pursuit ->   fixation (ibdt:129)
[ 1094]    pursuit ->   fixation (ibdt:129)
[ 1095]    pursuit ->   fixation (ibdt:129)
[ 1096]    pursuit ->   fixation (ibdt:129)
[ 1097]    pursuit ->   fixation (ibdt:129)
[ 1098]    pursuit ->   fixation (ibdt:129)
[ 1099]    pursuit ->   fixation (ibdt:129)
[ 1100]    pursuit ->   fixation (ibdt:129)
[ 1101]    pursuit ->   fixation (ibdt:129)
[ 1102]    pursuit ->   fixation (ibdt:129)
[ 1103]    pursuit ->   fixation (ibdt:129)
[ 1104]    pursuit ->   fixation (ibdt:129)
[ 1105]    pursuit ->   fixation (ibdt:129)
[ 1106]    pursuit ->   fixation (ibdt:129)
[ 1107]    pursuit ->   fixation (ibdt:129)
[ 1108]    saccade ->   fixation (ibdt:129)
[ 1109]    saccade ->   fixation (ibdt:129)
[ 1118]    saccade ->   fixation (ibdt:129)
[ 1119]    saccade ->   fixation (ibdt:129)
[ 1120]    saccade ->   fixation (ibdt:129)
[ 1121]    saccade ->   fixation (ibdt:129)
[ 1222]    saccade ->   fixation (ibdt:129)
[ 1223]    saccade ->   fixation (ibdt:129)
[ 1231]    saccade ->   fixation (ibdt:129)
[ 1232]    saccade ->   fixation (ibdt:129)
[ 1233]    saccade ->   fixation (ibdt:129)
[ 1311]    saccade ->   fixation (ibdt:129)
[ 1312]    saccade ->   fixation (ibdt:129)
[ 1313]    saccade ->   fixation (ibdt:129)
[ 1319]    saccade ->   fixation (ibdt:129)
[ 1320]    saccade ->   fixation (ibdt:129)
[ 1321]    saccade ->   fixation (ibdt:129)
[ 1434]    saccade ->   fixation (ibdt:129)
[ 1435]    saccade ->   fixation (ibdt:129)
[ 1447]    saccade ->   fixation (ibdt:129)
[ 1448]    saccade ->   fixation (ibdt:129)
[ 1449]    saccade ->   fixation (ibdt:129)
[ 1501]    saccade ->   fixation (ibdt:129)
[ 1502]    saccade ->   fixation (ibdt:129)
[ 1503]    saccade ->   fixation (ibdt:129)
[ 1504]    saccade ->   fixation (ibdt:129)
[ 1505]    saccade ->   fixation (ibdt:129)
[ 1506]    saccade ->   fixation (ibdt:129)
[ 1507]    pursuit ->   fixation (ibdt:129)
[ 1508]    pursuit ->   fixation (ibdt:129)
[ 1509]    pursuit ->   fixation (ibdt:129)
[ 1510]    pursuit ->   fixation (ibdt:129)
[ 1511]    pursuit ->   fixation (ibdt:129)
[ 1512]    pursuit ->   fixation (ibdt:129)
[ 1513]    pursuit ->   fixation (ibdt:129)
[ 1514]    pursuit ->   fixation (ibdt:129)
[ 1515]    pursuit ->   fixation (ibdt:129)
[ 1516]    pursuit ->   fixation (ibdt:129)
[ 1517]    pursuit ->   fixation (ibdt:129)
[ 1518]    pursuit ->   fixation (ibdt:129)
[ 1519]    pursuit ->   fixation (ibdt:129)
[ 1520]    pursuit ->   fixation (ibdt:129)
[ 1521]    pursuit ->   fixation (ibdt:129)
[ 1522]    pursuit ->   fixation (ibdt:129)
[ 1523]    pursuit ->   fixation (ibdt:129)
[ 1524]    pursuit ->   fixation (ibdt:129)
[ 1525]    pursuit ->   fixation (ibdt:129)
[ 1526]    pursuit ->   fixation (ibdt:129)
[ 1527]    pursuit ->   fixation (ibdt:129)
[ 1528]    pursuit ->   fixation (ibdt:129)
[ 1529]    pursuit ->   fixation (ibdt:129)
[ 1530]    pursuit ->   fixation (ibdt:129)
[ 1531]    pursuit ->   fixation (ibdt:129)
[ 1532]    pursuit ->   fixation (ibdt:129)
[ 1533]    pursuit ->   fixation (ibdt:129)
[ 1534]    pursuit ->   fixation (ibdt:129)
[ 1535]    pursuit ->   fixation (ibdt:129)
[ 1536]    pursuit ->   fixation (ibdt:129)
[ 1537]    pursuit ->   fixation (ibdt:129)
[ 1538]    pursuit ->   fixation (ibdt:129)
[ 1539]    pursuit ->   fixation (ibdt:129)
[ 1540]    pursuit ->   fixation (ibdt:129)
[ 1541]    pursuit ->   fixation (ibdt:129)
[ 1542]    pursuit ->   fixation (ibdt:129)
[ 1543]    pursuit ->   fixation (ibdt:129)
[ 1544]    pursuit ->   fixation (ibdt:129)
[ 1545]    pursuit ->   fixation (ibdt:129)
[ 1546]    pursuit ->   fixation (ibdt:129)
[ 1547]    pursuit ->   fixation (ibdt:129)
[ 1548]    pursuit ->   fixation (ibdt:129)
[ 1549]    pursuit ->   fixation (ibdt:129)
[ 1550]    pursuit ->   fixation (ibdt:129)
[ 1551]    pursuit ->   fixation (ibdt:129)
[ 1552]    pursuit ->   fixation (ibdt:129)
[ 1553]    pursuit ->   fixation (ibdt:129)
[ 1554]    pursuit ->   fixation (ibdt:129)
[ 1555]    pursuit ->   fixation (ibdt:129)
[ 1556]    pursuit ->   fixation (ibdt:129)
[ 1557]    pursuit ->   fixation (ibdt:129)
[ 1558]    pursuit ->   fixation (ibdt:129)
[ 1559]    pursuit ->   fixation (ibdt:129)
[ 1560]    pursuit ->   fixation (ibdt:129)
[ 1561]    pursuit ->   fixation (ibdt:129)
[ 1562]    pursuit ->   fixation (ibdt:129)
[ 1563]    pursuit ->   fixation (ibdt:129)
[ 1564]    pursuit ->   fixation (ibdt:129)
[ 1565]    pursuit ->   fixation (ibdt:129)
[ 1566]    pursuit ->   fixation (ibdt:129)
[ 1567]    pursuit ->   fixation (ibdt:129)
[ 1568]    pursuit ->   fixation (ibdt:129)
[ 1569]    pursuit ->   fixation (ibdt:129)
[ 1570]    pursuit ->   fixation (ibdt:129)
[ 1571]    pursuit ->   fixation (ibdt:129)
[ 1572]    pursuit ->   fixation (ibdt:129)
[ 1573]    pursuit ->   fixation (ibdt:129)
[ 1574]    pursuit ->   fixation (ibdt:129)
[ 1575]    pursuit ->   fixation (ibdt:129)
[ 1576]    pursuit ->   fixation (ibdt:129)
[ 1577]    pursuit ->   fixation (ibdt:129)
[ 1578]    pursuit ->   fixation (ibdt:129)
[ 1579]    pursuit ->   fixation (ibdt:129)
[ 1580]    pursuit ->   fixation (ibdt:129)
[ 1581]    pursuit ->   fixation (ibdt:129)
[ 1582]    pursuit ->   fixation (ibdt:129)
[ 1583]    pursuit ->   fixation (ibdt:129)
[ 1584]    pursuit ->   fixation (ibdt:129)
[ 1585]    pursuit ->   fixation (ibdt:129)
[ 1586]    pursuit ->   fixation (ibdt:129)
[ 1587]    pursuit ->   fixation (ibdt:129)
[ 1588]    pursuit ->   fixation (ibdt:129)
[ 1589]    pursuit ->   fixation (ibdt:129)
[ 1590]    pursuit ->   fixation (ibdt:129)
[ 1591]    pursuit ->   fixation (ibdt:129)
[ 1592]    pursuit ->   fixation (ibdt:129)
[ 1593]    pursuit ->   fixation (ibdt:129)
[ 1594]    pursuit ->   fixation (ibdt:129)
[ 1595]    pursuit ->   fixation (ibdt:129)
[ 1596]    pursuit ->   fixation (ibdt:129)
[ 1597]    pursuit ->   fixation (ibdt:129)
[ 1598]    pursuit ->   fixation (ibdt:129)
[ 1599]    pursuit ->   fixation (ibdt:129)
[ 1600]    pursuit ->   fixation (ibdt:129)
[ 1601]    pursuit ->   fixation (ibdt:129)
[ 1602]    pursuit ->   fixation (ibdt:129)
[ 1603]    pursuit ->   fixation (ibdt:129)
[ 1604]    pursuit ->   fixation (ibdt:129)
[ 1605]    pursuit ->   fixation (ibdt:129)
[ 1606]    pursuit ->   fixation (ibdt:129)
[ 1607]    pursuit ->   fixation (ibdt:129)
[ 1608]    pursuit ->   fixation (ibdt:129)
[ 1609]    pursuit ->   fixation (ibdt:129)
[ 1610]    pursuit ->   fixation (ibdt:129)
[ 1611]    pursuit ->   fixation (ibdt:129)
[ 1612]    pursuit ->   fixation (ibdt:129)
[ 1613]    pursuit ->   fixation (ibdt:129)
[ 1614]    pursuit ->   fixation (ibdt:129)
[ 1615]    pursuit ->   fixation (ibdt:129)
[ 1616]    pursuit ->   fixation (ibdt:129)
[ 1617]    pursuit ->   fixation (ibdt:129)
[ 1618]    pursuit ->   fixation (ibdt:129)
[ 1619]    pursuit ->   fixation (ibdt:129)
[ 1620]    pursuit ->   fixation (ibdt:129)
[ 1621]    pursuit ->   fixation (ibdt:129)
[ 1622]    pursuit ->   fixation (ibdt:129)
[ 1623]    pursuit ->   fixation (ibdt:129)
[ 1624]    pursuit ->   fixation (ibdt:129)
[ 1625]    pursuit ->   fixation (ibdt:129)
[ 1626]    pursuit ->   fixation (ibdt:129)
[ 1627]    pursuit ->   fixation (ibdt:129)
[ 1628]    pursuit ->   fixation (ibdt:129)
[ 1629]    pursuit ->   fixation (ibdt:129)
[ 1630]    pursuit ->   fixation (ibdt:129)
[ 1631]    pursuit ->   fixation (ibdt:129)
[ 1632]    pursuit ->   fixation (ibdt:129)
[ 1633]    pursuit ->   fixation (ibdt:129)
[ 1634]    pursuit ->   fixation (ibdt:129)
[ 1635]    pursuit ->   fixation (ibdt:129)
[ 1636]    pursuit ->   fixation (ibdt:129)
[ 1637]    pursuit ->   fixation (ibdt:129)
[ 1638]    pursuit ->   fixation (ibdt:129)
[ 1639]    pursuit ->   fixation (ibdt:129)
[ 1640]    pursuit ->   fixation (ibdt:129)
[ 1641]    pursuit ->   fixation (ibdt:129)
[ 1642]    pursuit ->   fixation (ibdt:129)
[ 1643]    pursuit ->   fixation (ibdt:129)
[ 1644]    pursuit ->   fixation (ibdt:129)
[ 1645]    pursuit ->   fixation (ibdt:129)
[ 1646]    pursuit ->   fixation (ibdt:129)
[ 1647]    pursuit ->   fixation (ibdt:129)
[ 1648]    pursuit ->   fixation (ibdt:129)
[ 1649]    pursuit ->   fixation (ibdt:129)
[ 1650]    pursuit ->   fixation (ibdt:129)
[ 1651]    pursuit ->   fixation (ibdt:129)
[ 1652]    pursuit ->   fixation (ibdt:129)
[ 1653]    pursuit ->   fixation (ibdt:129)
[ 1654]    pursuit ->   fixation (ibdt:129)
[ 1655]    pursuit ->   fixation (ibdt:129)
[ 1656]    pursuit ->   fixation (ibdt:129)
[ 1657]    pursuit ->   fixation (ibdt:129)
[ 1658]    pursuit ->   fixation (ibdt:129)
[ 1659]    pursuit ->   fixation (ibdt:129)
[ 1660]    pursuit ->   fixation (ibdt:129)
[ 1661]    pursuit ->   fixation (ibdt:129)
[ 1662]    pursuit ->   fixation (ibdt:129)
[ 1663]    pursuit ->   fixation (ibdt:129)
[ 1664]    pursuit ->   fixation (ibdt:129)
[ 1665]    pursuit ->   fixation (ibdt:129)
[ 1666]    pursuit ->   fixation (ibdt:129)
[ 1667]    pursuit ->   fixation (ibdt:129)
[ 1668]    pursuit ->   fixation (ibdt:129)
[ 1669]    pursuit ->   fixation (ibdt:129)
[ 1670]    pursuit ->   fixation (ibdt:129)
[ 1671]    saccade ->   fixation (ibdt:129)
[ 1676]    saccade ->   fixation (ibdt:129)
[ 1677]    saccade ->   fixation (ibdt:129)
[ 1678]    saccade ->   fixation (ibdt:129)
[ 1698]    saccade ->   fixation (ibdt:129)
[ 1709]    saccade ->   fixation (ibdt:129)
[ 1710]    saccade ->   fixation (ibdt:129)
[ 1711]    saccade ->   fixation (ibdt:129)
[ 1712]    saccade ->   fixation (ibdt:129)
[ 1758]    saccade ->   fixation (ibdt:129)
[ 1759]    saccade ->   fixation (ibdt:129)
[ 1760]    saccade ->   fixation (ibdt:129)
[ 1761]    saccade ->   fixation (ibdt:129)
[ 1762]    saccade ->   fixation (ibdt:129)
[ 1763]    saccade ->   fixation (ibdt:129)
[ 1764]    saccade ->   fixation (ibdt:129)
[ 1805]    saccade ->   fixation (ibdt:129)
[ 1806]    saccade ->   fixation (ibdt:129)
[ 1814]    saccade ->   fixation (ibdt:129)
[ 1815]    saccade ->   fixation (ibdt:129)
[ 1889]    saccade ->   fixation (ibdt:129)
[ 1890]    saccade ->   fixation (ibdt:129)
[ 1891]    saccade ->   fixation (ibdt:129)
[ 1892]    saccade ->   fixation (ibdt:129)
[ 1894]    saccade ->   fixation (ibdt:129)
[ 1895]    saccade ->   fixation (ibdt:129)
[ 1896]    saccade ->   fixation (ibdt:129)
[ 1897]    saccade ->   fixation (ibdt:129)
[ 1898]    saccade ->   fixation (ibdt:129)
[ 1930]    saccade ->   fixation (ibdt:129)
[ 1931]    saccade ->   fixation (ibdt:129)
[ 1932]    saccade ->   fixation (ibdt:129)
[ 1934]    saccade ->   fixation (ibdt:129)
[ 1935]    saccade ->   fixation (ibdt:129)
[ 1936]    saccade ->   fixation (ibdt:129)
[ 1937]    saccade ->   fixation (ibdt:129)
[ 1938]    pursuit ->   fixation (ibdt:129)
[ 1939]    pursuit ->   fixation (ibdt:129)
[ 1940]    pursuit ->   fixation (ibdt:129)
[ 1941]    pursuit ->   fixation (ibdt:129)
[ 1942]    pursuit ->   fixation (ibdt:129)
[ 1943]    pursuit ->   fixation (ibdt:129)
[ 1944]    pursuit ->   fixation (ibdt:129)
[ 1945]    pursuit ->   fixation (ibdt:129)
[ 1946]    pursuit ->   fixation (ibdt:129)
[ 1947]    pursuit ->   fixation (ibdt:129)
[ 1948]    pursuit ->   fixation (ibdt:129)
[ 1949]    pursuit ->   fixation (ibdt:129)
[ 1950]    pursuit ->   fixation (ibdt:129)
[ 1951]    pursuit ->   fixation (ibdt:129)
[ 1952]    pursuit ->   fixation (ibdt:129)
[ 1953]    pursuit ->   fixation (ibdt:129)
[ 1954]    pursuit ->   fixation (ibdt:129)
[ 1955]    pursuit ->   fixation (ibdt:129)
[ 1956]    pursuit ->   fixation (ibdt:129)
[ 1957]    pursuit ->   fixation (ibdt:129)
[ 1958]    pursuit ->   fixation (ibdt:129)
[ 1959]    pursuit ->   fixation (ibdt:129)
[ 1960]    pursuit ->   fixation (ibdt:129)
[ 1961]    pursuit ->   fixation (ibdt:129)
[ 1962]    pursuit ->   fixation (ibdt:129)
[ 1963]    pursuit ->   fixation (ibdt:129)
[ 1964]    pursuit ->   fixation (ibdt:129)
[ 1965]    pursuit ->   fixation (ibdt:129)
[ 1966]    pursuit ->   fixation (ibdt:129)
[ 1967]    pursuit ->   fixation (ibdt:129)
[ 1968]    pursuit ->   fixation (ibdt:129)
[ 1969]    pursuit ->   fixation (ibdt:129)
[ 1970]    pursuit ->   fixation (ibdt:129)
[ 1971]    pursuit ->   fixation (ibdt:129)
[ 1972]    pursuit ->   fixation (ibdt:129)
[ 1973]    pursuit ->   fixation (ibdt:129)
[ 1974]    pursuit ->   fixation (ibdt:129)
[ 1975]    pursuit ->   fixation (ibdt:129)
[ 1976]    pursuit ->   fixation (ibdt:129)
[ 1977]    pursuit ->   fixation (ibdt:129)
[ 1978]    pursuit ->   fixation (ibdt:129)
[ 1979]    pursuit ->   fixation (ibdt:129)
[ 1980]    pursuit ->   fixation (ibdt:129)
[ 1981]    pursuit ->   fixation (ibdt:129)
[ 1982]    pursuit ->   fixation (ibdt:129)
[ 1983]    pursuit ->   fixation (ibdt:129)
[ 1984]    pursuit ->   fixation (ibdt:129)
[ 1985]    pursuit ->   fixation (ibdt:129)
[ 1986]    pursuit ->   fixation (ibdt:129)
[ 1987]    pursuit ->   fixation (ibdt:129)
[ 1988]    pursuit ->   fixation (ibdt:129)
[ 1989]    pursuit ->   fixation (ibdt:129)
[ 1990]    pursuit ->   fixation (ibdt:129)
[ 1991]    pursuit ->   fixation (ibdt:129)
[ 1992]    pursuit ->   fixation (ibdt:129)
[ 1993]    pursuit ->   fixation (ibdt:129)
[ 1994]    pursuit ->   fixation (ibdt:129)
[ 1995]    pursuit ->   fixation (ibdt:129)
[ 1996]    pursuit ->   fixation (ibdt:129)
[ 1997]    pursuit ->   fixation (ibdt:129)
[ 1998]    pursuit ->   fixation (ibdt:129)
[ 1999]    pursuit ->   fixation (ibdt:129)
[ 2000]    pursuit ->   fixation (ibdt:129)
[ 2001]    pursuit ->   fixation (ibdt:129)
[ 2002]    pursuit ->   fixation (ibdt:129)
[ 2003]    pursuit ->   fixation (ibdt:129)
[ 2004]    pursuit ->   fixation (ibdt:129)
[ 2005]    pursuit ->   fixation (ibdt:129)
[ 2006]    pursuit ->   fixation (ibdt:129)
[ 2007]    pursuit ->   fixation (ibdt:129)
[ 2008]    pursuit ->   fixation (ibdt:129)
[ 2009]    pursuit ->   fixation (ibdt:129)
[ 2010]    pursuit ->   fixation (ibdt:129)
[ 2011]    pursuit ->   fixation (ibdt:129)
[ 2012]    pursuit ->   fixation (ibdt:129)
[ 2013]    pursuit ->   fixation (ibdt:129)
[ 2014]    pursuit ->   fixation (ibdt:129)
[ 2015]    pursuit ->   fixation (ibdt:129)
[ 2016]    pursuit ->   fixation (ibdt:129)
[ 2017]    pursuit ->   fixation (ibdt:129)
[ 2018]    pursuit ->   fixation (ibdt:129)
[ 2019]    pursuit ->   fixation (ibdt:129)
[ 2020]    pursuit ->   fixation (ibdt:129)
[ 2021]    pursuit ->   fixation (ibdt:129)
[ 2022]    pursuit ->   fixation (ibdt:129)
[ 2023]    pursuit ->   fixation (ibdt:129)
[ 2024]    pursuit ->   fixation (ibdt:129)
[ 2025]    pursuit ->   fixation (ibdt:129)
[ 2026]    pursuit ->   fixation (ibdt:129)
[ 2027]    pursuit ->   fixation (ibdt:129)
[ 2028]    pursuit ->   fixation (ibdt:129)
[ 2029]    pursuit ->   fixation (ibdt:129)
[ 2030]    pursuit ->   fixation (ibdt:129)
[ 2031]    pursuit ->   fixation (ibdt:129)
[ 2032]    pursuit ->   fixation (ibdt:129)
[ 2033]    pursuit ->   fixation (ibdt:129)
[ 2034]    pursuit ->   fixation (ibdt:129)
[ 2035]    pursuit ->   fixation (ibdt:129)
[ 2036]    pursuit ->   fixation (ibdt:129)
[ 2037]    pursuit ->   fixation (ibdt:129)
[ 2038]    pursuit ->   fixation (ibdt:129)
[ 2039]    pursuit ->   fixation (ibdt:129)
[ 2040]    pursuit ->   fixation (ibdt:129)
[ 2041]    pursuit ->   fixation (ibdt:129)
[ 2042]    pursuit ->   fixation (ibdt:129)
[ 2043]    pursuit ->   fixation (ibdt:129)
[ 2044]    pursuit ->   fixation (ibdt:129)
[ 2045]    pursuit ->   fixation (ibdt:129)
